lon,lat,elv,elv
-78.555,-0.715,3.2322,3232.2
-78.555,-0.718,3.23349,3233.49
-78.555,-0.721,3.2258,3225.8
-78.555,-0.724,3.21961,3219.61
-78.555,-0.726,3.21472,3214.72
-78.555,-0.729,3.20661,3206.61
-78.555,-0.732,3.1928,3192.8
-78.555,-0.735,3.17218,3172.18
-78.555,-0.737,3.14489,3144.89
-78.555,-0.74,3.12165,3121.65
-78.555,-0.743,3.1248,3124.8
-78.555,-0.746,3.12682,3126.82
-78.555,-0.748,3.12413,3124.13
-78.555,-0.751,3.12194,3121.94
-78.555,-0.754,3.11986,3119.86
-78.555,-0.757,3.11202,3112.02
-78.555,-0.759,3.11465,3114.65
-78.555,-0.762,3.11515,3115.15
-78.555,-0.765,3.12146,3121.46
-78.555,-0.768,3.11966,3119.66
-78.555,-0.77,3.12618,3126.18
-78.555,-0.773,3.13841,3138.41
-78.555,-0.776,3.13379,3133.79
-78.555,-0.779,3.10254,3102.54
-78.555,-0.781,3.11851,3118.51
-78.555,-0.784,3.13136,3131.36
-78.555,-0.787,3.13362,3133.62
-78.555,-0.79,3.13115,3131.15
-78.555,-0.792,3.14909,3149.09
-78.555,-0.795,3.13065,3130.65
-78.555,-0.798,3.13121,3131.21
-78.555,-0.8,3.11517,3115.17
-78.555,-0.803,3.14089,3140.89
-78.555,-0.806,3.15264,3152.64
-78.555,-0.809,3.13113,3131.13
-78.555,-0.811,3.15841,3158.41
-78.555,-0.814,3.12672,3126.72
-78.555,-0.817,3.15562,3155.62
-78.555,-0.82,3.14261,3142.61
-78.555,-0.822,3.12326,3123.26
-78.555,-0.825,3.09794,3097.94
-78.555,-0.828,3.0785,3078.5
-78.555,-0.831,3.01324,3013.24
-78.555,-0.833,3.05658,3056.58
-78.555,-0.836,3.14146,3141.46
-78.553,-0.559,3.27264,3272.64
-78.553,-0.562,3.28746,3287.46
-78.553,-0.564,3.31401,3314.01
-78.553,-0.567,3.32356,3323.56
-78.553,-0.57,3.37462,3374.62
-78.553,-0.573,3.41755,3417.55
-78.553,-0.575,3.3749,3374.9
-78.553,-0.578,3.38534,3385.34
-78.553,-0.581,3.50207,3502.07
-78.553,-0.584,3.56902,3569.02
-78.553,-0.586,3.57036,3570.36
-78.553,-0.589,3.59646,3596.46
-78.553,-0.592,3.65094,3650.94
-78.553,-0.595,3.6949,3694.9
-78.553,-0.597,3.73266,3732.66
-78.553,-0.6,3.76273,3762.73
-78.553,-0.603,3.81943,3819.43
-78.553,-0.605,3.80751,3807.51
-78.553,-0.608,3.76104,3761.04
-78.553,-0.611,3.70205,3702.05
-78.553,-0.614,3.66451,3664.51
-78.553,-0.616,3.62671,3626.71
-78.553,-0.619,3.5784,3578.4
-78.553,-0.622,3.52746,3527.46
-78.553,-0.625,3.51351,3513.51
-78.553,-0.627,3.50663,3506.63
-78.553,-0.63,3.49075,3490.75
-78.553,-0.633,3.47781,3477.81
-78.553,-0.636,3.46095,3460.95
-78.553,-0.638,3.44617,3446.17
-78.553,-0.641,3.43497,3434.97
-78.553,-0.644,3.4189,3418.9
-78.553,-0.647,3.40869,3408.69
-78.553,-0.649,3.40232,3402.32
-78.553,-0.652,3.38763,3387.63
-78.553,-0.655,3.37261,3372.61
-78.553,-0.658,3.36411,3364.11
-78.553,-0.66,3.35062,3350.62
-78.553,-0.663,3.33016,3330.16
-78.553,-0.666,3.3247,3324.7
-78.553,-0.669,3.31241,3312.41
-78.553,-0.671,3.32052,3320.52
-78.553,-0.674,3.32287,3322.87
-78.553,-0.677,3.31684,3316.84
-78.553,-0.68,3.32911,3329.11
-78.553,-0.682,3.31616,3316.16
-78.553,-0.685,3.29158,3291.58
-78.553,-0.688,3.2955,3295.5
-78.553,-0.691,3.297,3297
-78.553,-0.693,3.29141,3291.41
-78.553,-0.696,3.28903,3289.03
-78.553,-0.699,3.28749,3287.49
-78.553,-0.702,3.28398,3283.98
-78.553,-0.704,3.27829,3278.29
-78.553,-0.707,3.24897,3248.97
-78.553,-0.71,3.24077,3240.77
-78.553,-0.713,3.25137,3251.37
-78.553,-0.715,3.24443,3244.43
-78.553,-0.718,3.23903,3239.03
-78.553,-0.721,3.23148,3231.48
-78.553,-0.724,3.22604,3226.04
-78.553,-0.726,3.21846,3218.46
-78.553,-0.729,3.20624,3206.24
-78.553,-0.732,3.18738,3187.38
-78.553,-0.735,3.1556,3155.6
-78.553,-0.737,3.13247,3132.47
-78.553,-0.74,3.1318,3131.8
-78.553,-0.743,3.13865,3138.65
-78.553,-0.746,3.13666,3136.66
-78.553,-0.748,3.13616,3136.16
-78.553,-0.751,3.13349,3133.49
-78.553,-0.754,3.13034,3130.34
-78.553,-0.757,3.12017,3120.17
-78.553,-0.759,3.12628,3126.28
-78.553,-0.762,3.13373,3133.73
-78.553,-0.765,3.13671,3136.71
-78.553,-0.768,3.14136,3141.36
-78.553,-0.77,3.14818,3148.18
-78.553,-0.773,3.15863,3158.63
-78.553,-0.776,3.13984,3139.84
-78.553,-0.779,3.12871,3128.71
-78.553,-0.781,3.15085,3150.85
-78.553,-0.784,3.13485,3134.85
-78.553,-0.787,3.15986,3159.86
-78.553,-0.79,3.15536,3155.36
-78.553,-0.792,3.18361,3183.61
-78.553,-0.795,3.15364,3153.64
-78.553,-0.798,3.14785,3147.85
-78.553,-0.8,3.12969,3129.69
-78.553,-0.803,3.16135,3161.35
-78.553,-0.806,3.16595,3165.95
-78.553,-0.809,3.16004,3160.04
-78.553,-0.811,3.16199,3161.99
-78.553,-0.814,3.14229,3142.29
-78.553,-0.817,3.16178,3161.78
-78.553,-0.82,3.15691,3156.91
-78.553,-0.822,3.13645,3136.45
-78.553,-0.825,3.11614,3116.14
-78.553,-0.828,3.09571,3095.71
-78.553,-0.831,3.02511,3025.11
-78.553,-0.833,3.06747,3067.47
-78.553,-0.836,3.15321,3153.21
-78.55,-0.559,3.32558,3325.58
-78.55,-0.562,3.34732,3347.32
-78.55,-0.564,3.38809,3388.09
-78.55,-0.567,3.37807,3378.07
-78.55,-0.57,3.34302,3343.02
-78.55,-0.573,3.40084,3400.84
-78.55,-0.575,3.48868,3488.68
-78.55,-0.578,3.42392,3423.92
-78.55,-0.581,3.45205,3452.05
-78.55,-0.584,3.5991,3599.1
-78.55,-0.586,3.63062,3630.62
-78.55,-0.589,3.64909,3649.09
-78.55,-0.592,3.6675,3667.5
-78.55,-0.595,3.69573,3695.73
-78.55,-0.597,3.7456,3745.6
-78.55,-0.6,3.80835,3808.35
-78.55,-0.603,3.86852,3868.52
-78.55,-0.605,3.84924,3849.24
-78.55,-0.608,3.77581,3775.81
-78.55,-0.611,3.7345,3734.5
-78.55,-0.614,3.70564,3705.64
-78.55,-0.616,3.65517,3655.17
-78.55,-0.619,3.60459,3604.59
-78.55,-0.622,3.57509,3575.09
-78.55,-0.625,3.55965,3559.65
-78.55,-0.627,3.54024,3540.24
-78.55,-0.63,3.52022,3520.22
-78.55,-0.633,3.49767,3497.67
-78.55,-0.636,3.48052,3480.52
-78.55,-0.638,3.46567,3465.67
-78.55,-0.641,3.45457,3454.57
-78.55,-0.644,3.43817,3438.17
-78.55,-0.647,3.41928,3419.28
-78.55,-0.649,3.40515,3405.15
-78.55,-0.652,3.39126,3391.26
-78.55,-0.655,3.37946,3379.46
